r2.sn-2uuxa3vh-nv9s.a1.googlevideo.com,36.92.234.173
r1.sn-2uuxa3vh-ngbs.a1.googlevideo.com,118.98.108.236
r2.sn-2uuxa3vh-ngbs.a1.googlevideo.com,118.98.108.237
r3.sn-2uuxa3vh-ngbs.a1.googlevideo.com,118.98.108.238
r4.sn-2uuxa3vh-ngbs.a1.googlevideo.com,118.98.108.239
r1.sn-2uuxa3vh-wvbs.a1.googlevideo.com,118.98.105.44
r2.sn-2uuxa3vh-wvbs.a1.googlevideo.com,118.98.105.45
r3.sn-2uuxa3vh-wvbs.a1.googlevideo.com,118.98.105.46
r4.sn-2uuxa3vh-wvbs.a1.googlevideo.com,118.98.105.47
r5.sn-2uuxa3vh-wvbs.a1.googlevideo.com,118.98.105.48
r6.sn-2uuxa3vh-wvbs.a1.googlevideo.com,118.98.105.49
r1.sn-2uuxa3vh-n0cs.a1.googlevideo.com,118.98.30.140
r2.sn-2uuxa3vh-n0cs.a1.googlevideo.com,118.98.30.141
r3.sn-2uuxa3vh-n0cs.a1.googlevideo.com,118.98.30.142
r4.sn-2uuxa3vh-n0cs.a1.googlevideo.com,118.98.30.143
r5.sn-2uuxa3vh-n0cs.a1.googlevideo.com,118.98.30.144
r6.sn-2uuxa3vh-n0cs.a1.googlevideo.com,118.98.30.145
r7.sn-2uuxa3vh-n0cs.a1.googlevideo.com,118.98.30.146
r8.sn-2uuxa3vh-n0cs.a1.googlevideo.com,118.98.30.147
r1.sn-poqvn5u-n0cs.a1.googlevideo.com,114.4.160.204
r2.sn-poqvn5u-n0cs.a1.googlevideo.com,114.4.160.205
r3.sn-poqvn5u-n0cs.a1.googlevideo.com,114.4.160.206
r4.sn-poqvn5u-n0cs.a1.googlevideo.com,114.4.160.207
r5.sn-poqvn5u-n0cs.a1.googlevideo.com,114.4.160.208
r6.sn-poqvn5u-n0cs.a1.googlevideo.com,114.4.160.209
r7.sn-poqvn5u-n0cs.a1.googlevideo.com,114.4.160.210
r8.sn-poqvn5u-n0cs.a1.googlevideo.com,114.4.160.211
r1.sn-nx57ynls.a1.googlevideo.com,173.194.152.119
r2.sn-nx57ynls.a1.googlevideo.com,173.194.152.120
r3.sn-nx57ynls.a1.googlevideo.com,173.194.152.121
r4.sn-nx57ynls.a1.googlevideo.com,173.194.152.122
r5.sn-nx57ynls.a1.googlevideo.com,173.194.152.123
r6.sn-nx57ynls.a1.googlevideo.com,173.194.152.124
r1.sn-npoe7n7y.a1.googlevideo.com,74.125.10.55
r1.sn-nx5s7n7y.a1.googlevideo.com,74.125.5.198
r2.sn-nx5s7n7y.a1.googlevideo.com,74.125.5.199
r3.sn-nx5s7n7y.a1.googlevideo.com,74.125.5.200
r4.sn-nx5s7n7y.a1.googlevideo.com,74.125.5.201
r5.sn-nx5s7n7y.a1.googlevideo.com,74.125.5.202
r5.sn-n4v7sn7y.a1.googlevideo.com,74.125.170.123
r1.sn-npoe7ney.a1.googlevideo.com,74.125.101.38
r3.sn-npoe7ney.a1.googlevideo.com,74.125.101.40
r4.sn-npoe7ney.a1.googlevideo.com,74.125.101.41
r2.sn-npoeeney.a1.googlevideo.com,74.125.101.71
r3.sn-npoeeney.a1.googlevideo.com,74.125.101.72
r2.sn-n4v7sney.a1.googlevideo.com,74.125.103.39
r3.sn-n4v7sney.a1.googlevideo.com,74.125.103.40
r5.sn-n4v7sney.a1.googlevideo.com,74.125.103.42
r1.sn-npoeenly.a1.googlevideo.com,173.194.59.102
r2.sn-npoeenly.a1.googlevideo.com,173.194.59.103
r3.sn-npoeenly.a1.googlevideo.com,173.194.59.104
r1.sn-poqvn5u-jb3z.a1.googlevideo.com,114.4.4.140
r2.sn-poqvn5u-jb3z.a1.googlevideo.com,114.4.4.141
r3.sn-poqvn5u-jb3z.a1.googlevideo.com,114.4.4.142
r4.sn-poqvn5u-jb3z.a1.googlevideo.com,114.4.4.143
r5.sn-poqvn5u-jb3z.a1.googlevideo.com,114.4.4.144
r7.sn-poqvn5u-jb3z.a1.googlevideo.com,114.4.4.146
r1.sn-nx5s7n7z.a1.googlevideo.com,173.194.152.166
r2.sn-nx5s7n7z.a1.googlevideo.com,173.194.152.167
r3.sn-nx5s7n7z.a1.googlevideo.com,173.194.152.168
r4.sn-nx5s7n7z.a1.googlevideo.com,173.194.152.169
r5.sn-nx5s7n7z.a1.googlevideo.com,173.194.152.170
r1.sn-2uuxa3vh-ngbz.a1.googlevideo.com,36.92.234.204
r2.sn-2uuxa3vh-ngbz.a1.googlevideo.com,36.92.234.205
r3.sn-2uuxa3vh-ngbz.a1.googlevideo.com,36.92.234.206
r4.sn-2uuxa3vh-ngbz.a1.googlevideo.com,36.92.234.207
r1.sn-2uuxa3vh-wvbz.a1.googlevideo.com,36.92.234.76
r3.sn-2uuxa3vh-wvbz.a1.googlevideo.com,36.92.234.78
r5.sn-2uuxa3vh-wvbz.a1.googlevideo.com,36.92.234.80
r6.sn-2uuxa3vh-wvbz.a1.googlevideo.com,36.92.234.81
r7.sn-2uuxa3vh-wvbz.a1.googlevideo.com,36.92.234.82
r1.sn-2uuxa3vh-n0cz.a1.googlevideo.com,118.98.30.204
r2.sn-2uuxa3vh-n0cz.a1.googlevideo.com,118.98.30.205
r3.sn-2uuxa3vh-n0cz.a1.googlevideo.com,118.98.30.206
r4.sn-2uuxa3vh-n0cz.a1.googlevideo.com,118.98.30.207
r5.sn-2uuxa3vh-n0cz.a1.googlevideo.com,118.98.30.208
r6.sn-2uuxa3vh-n0cz.a1.googlevideo.com,118.98.30.209
r7.sn-2uuxa3vh-n0cz.a1.googlevideo.com,118.98.30.210
r8.sn-2uuxa3vh-n0cz.a1.googlevideo.com,118.98.30.211
r1.sn-poqvn5u-n0cz.a1.googlevideo.com,114.5.10.12
r2.sn-poqvn5u-n0cz.a1.googlevideo.com,114.5.10.13
r3.sn-poqvn5u-n0cz.a1.googlevideo.com,114.5.10.14
r4.sn-poqvn5u-n0cz.a1.googlevideo.com,114.5.10.15
r5.sn-poqvn5u-n0cz.a1.googlevideo.com,114.5.10.16
r6.sn-poqvn5u-n0cz.a1.googlevideo.com,114.5.10.17
r7.sn-poqvn5u-n0cz.a1.googlevideo.com,114.5.10.18
r8.sn-poqvn5u-n0cz.a1.googlevideo.com,114.5.10.19
r1.sn-nx5e6nez.a1.googlevideo.com,173.194.152.87
r2.sn-nx5e6nez.a1.googlevideo.com,173.194.152.88
r3.sn-nx5e6nez.a1.googlevideo.com,173.194.152.89
r4.sn-nx5e6nez.a1.googlevideo.com,173.194.152.90
